exp_label,problem,alpha_tag,model_a,model_b,mean_a,mean_b,mean_diff,t_stat,p_raw,p_holm,significant
finetuning,p3,alpha3,bart,openai-modernbert,0.6906720866260556,0.7754435610897292,-0.08477147446367365,-18.759076252550095,4.7546920513405296e-05,0.010460322512949165,True
finetuning,p3,alpha3,deepseek-bart,openai-bart,0.7108225311426826,0.7598100972626568,-0.048987566119974256,-14.469595890971089,0.0001326239660141707,0.0288423319571127,True
finetuning,p3,alpha3,deepseek-bart,openai-modernbert,0.7108225311426826,0.7754435610897292,-0.06462102994704666,-14.478467479822351,0.00013230427503262707,0.0288423319571127,True
finetuning,p3,alpha3,modernbert,openai-modernbert,0.6983324988979251,0.7754435610897292,-0.07711106219180411,-10.60465754987464,0.0004475567266597305,0.09577713950518232,False
finetuning,p3,alpha3,bart,openai-bart,0.6906720866260556,0.7598100972626568,-0.06913801063660126,-10.460461786839884,0.0004719982897974218,0.10053563572685084,False
finetuning,p3,alpha3,bart,phi4-modernbert,0.6906720866260556,0.7308786682980852,-0.04020658167202953,-10.424935767567668,0.0004782729120920065,0.10139385736350537,False
finetuning,p3,alpha3,deepseek-modernbert,openai-modernbert,0.7079960832048402,0.7754435610897292,-0.06744747788488903,-10.352726327065525,0.0004913491988533014,0.1036746809580466,False
finetuning,p3,alpha3,llama3-qlora,openai-modernbert,0.7090537571134613,0.7754435610897292,-0.06638980397626797,-7.722262822140383,0.0015139675179814903,0.305821438632261,False
finetuning,p3,alpha3,modernbert,openai-bart,0.6983324988979251,0.7598100972626568,-0.0614775983647317,-6.765481870226817,0.002490048187101855,0.47835574778182033,False
finetuning,p3,alpha3,bart,openai-llama3-qlora,0.6906720866260556,0.7671742832126898,-0.07650219658663397,-6.313649459161055,0.0032186639336020976,0.5986714916499901,False
finetuning,p3,alpha3,deepseek-modernbert,openai-llama3-qlora,0.7079960832048402,0.7671742832126898,-0.059178200007849346,-6.286987073820151,0.003269370402209371,0.6024877136023749,False
finetuning,p3,alpha3,modernbert,openai-llama3-qlora,0.6983324988979251,0.7671742832126898,-0.06884178431476443,-6.293606562589688,0.0032566903437966205,0.6024877136023749,False
finetuning,p3,alpha3,openai-modernbert,phi4-modernbert,0.7754435610897292,0.7308786682980852,0.04456489279164413,6.286824939081379,0.003269681742768227,0.6024877136023749,False
finetuning,p3,alpha3,deepseek-modernbert,openai-bart,0.7079960832048402,0.7598100972626568,-0.051814014057816625,-5.77151623677792,0.004474178053793019,0.7964036935751574,False
